batch_id,recipient_id,status,sent_at,opened_at,replied_at,bounced_at
29,423,sent,2026-05-26T12:36:11.044798,,,
29,424,sent,2026-05-26T12:38:11.821731,,,
29,425,sent,2026-05-26T12:40:12.666672,,,
29,426,sent,2026-05-26T12:42:13.601231,,,
29,427,sent,2026-05-26T12:44:14.818368,,,
29,428,sent,2026-05-26T12:46:15.522393,,,
29,429,sent,2026-05-26T12:48:16.264337,,,
29,430,sent,2026-05-26T12:50:17.047188,,,
29,431,sent,2026-05-26T12:52:17.792553,,,
29,432,sent,2026-05-26T12:54:18.609628,,,
29,433,sent,2026-05-26T12:56:19.373735,,,
29,434,sent,2026-05-26T12:58:20.527541,,,
29,435,sent,2026-05-26T13:00:21.357767,,,
29,436,sent,2026-05-26T13:02:22.090472,,,
29,437,sent,2026-05-26T13:04:22.898698,,,
29,438,sent,2026-05-26T13:06:23.645232,,,
29,439,sent,2026-05-26T13:08:24.376375,,,
29,440,sent,2026-05-26T13:10:25.700145,,,
29,441,sent,2026-05-26T13:12:26.453413,,,
29,442,sent,2026-05-26T13:15:10.337233,,,
29,443,sent,2026-05-26T13:17:11.189564,,,
29,444,sent,2026-05-26T13:19:11.900071,,,
29,445,sent,2026-05-26T13:21:12.618613,,,
29,446,sent,2026-05-26T13:23:13.318777,,,
29,447,sent,2026-05-26T13:25:14.013349,,,
29,448,sent,2026-05-26T13:27:14.672899,,,
29,449,sent,2026-05-26T13:29:15.729426,,,
29,450,sent,2026-05-26T13:31:16.609833,,,
29,451,sent,2026-05-26T13:33:17.418076,,,
29,452,sent,2026-05-26T13:35:18.275856,,,
29,453,sent,2026-05-26T13:37:19.053671,,,
29,454,sent,2026-05-26T13:39:19.741428,,,
29,455,sent,2026-05-26T13:41:20.443873,,,
29,456,sent,2026-05-26T13:43:21.212134,,,
29,457,sent,2026-05-26T13:45:22.302810,,,
29,458,sent,2026-05-26T13:47:23.077871,,,
29,459,sent,2026-05-26T13:49:23.733588,,,
29,460,sent,2026-05-26T13:51:24.406947,,,
29,461,sent,2026-05-26T13:53:25.129852,,,
29,462,sent,2026-05-26T13:55:25.849512,,,
29,463,sent,2026-05-26T13:57:26.789290,,,
29,464,sent,2026-05-26T13:59:27.960538,,,
29,465,sent,2026-05-26T14:01:28.646268,,,
29,466,sent,2026-05-26T14:03:29.420045,,,
29,467,sent,2026-05-26T14:05:30.280464,,,
29,468,sent,2026-05-26T14:07:31.639586,,,
29,469,sent,2026-05-26T14:09:32.385853,,,
29,470,sent,2026-05-26T14:11:33.962137,,,
29,471,sent,2026-05-26T14:13:34.970443,,,
29,472,sent,2026-05-26T14:16:19.050813,,,
29,473,sent,2026-05-26T14:18:19.916361,,,
29,474,sent,2026-05-26T14:20:20.840112,,,
29,475,sent,2026-05-26T14:22:21.555447,,,
29,476,sent,2026-05-26T14:24:22.253681,,,
29,477,sent,2026-05-26T14:26:23.130930,,,
29,478,sent,2026-05-26T14:28:23.864751,,,
29,479,sent,2026-05-26T14:30:25.012877,,,
29,480,sent,2026-05-26T14:32:25.847343,,,
29,481,sent,2026-05-26T14:34:26.637201,,,
29,482,sent,2026-05-26T14:36:27.364960,,,
29,483,sent,2026-05-26T14:38:28.106279,,,
29,484,sent,2026-05-26T14:40:28.842068,,,
29,485,sent,2026-05-26T14:42:29.595949,,,
29,486,sent,2026-05-26T14:44:31.035821,,,
29,487,sent,2026-05-26T14:46:32.232825,,,
29,488,sent,2026-05-26T14:48:33.101053,,,
29,489,sent,2026-05-26T14:50:33.930942,,,
29,490,sent,2026-05-26T14:52:34.729777,,,
29,491,sent,2026-05-26T14:54:35.510465,,,
29,492,sent,2026-05-26T14:56:36.183400,,,
29,493,sent,2026-05-26T14:58:36.971628,,,
29,494,sent,2026-05-26T15:00:38.122784,,,
29,495,sent,2026-05-26T15:02:38.852747,,,
29,496,sent,2026-05-26T15:04:39.871451,,,
29,497,sent,2026-05-26T15:06:40.593936,,,
29,498,sent,2026-05-26T15:08:41.314446,,,
29,499,sent,2026-05-26T15:10:42.104426,,,
29,500,sent,2026-05-26T15:12:42.833436,,,
29,501,sent,2026-05-26T15:14:43.657822,,,
29,502,sent,2026-05-26T15:17:41.686589,,,
29,503,sent,2026-05-26T15:19:42.427561,,,
29,504,sent,2026-05-26T15:21:43.194487,,,
29,505,sent,2026-05-26T15:23:44.026828,,,
29,506,sent,2026-05-26T15:25:45.531231,,,
29,507,sent,2026-05-26T15:27:46.314882,,,
29,508,sent,2026-05-26T15:29:47.151319,,,
29,509,sent,2026-05-26T15:31:48.267029,,,
29,510,sent,2026-05-26T15:33:49.013511,,,
29,511,sent,2026-05-26T15:35:49.763118,,,
29,512,sent,2026-05-26T15:37:50.534307,,,
29,513,sent,2026-05-26T15:39:51.269948,,,
29,514,sent,2026-05-26T15:41:52.107001,,,
29,515,sent,2026-05-26T15:43:52.842458,,,
29,516,sent,2026-05-26T15:45:52.851000,,,
29,517,sent,2026-05-26T15:47:54.539612,,,
29,518,sent,2026-05-26T15:49:55.258547,,,
29,519,sent,2026-05-26T15:51:55.985502,,,
29,520,sent,2026-05-26T15:53:56.685482,,,
29,521,sent,2026-05-26T15:56:05.130068,,,
29,522,sent,2026-05-26T15:58:06.324869,,,
29,523,sent,2026-05-26T16:00:07.075542,,,
29,524,sent,2026-05-26T16:02:08.194795,,,
29,525,sent,2026-05-26T16:04:08.813604,,,
30,526,sent,2026-05-26T12:25:02.933940,,,
30,527,sent,2026-05-26T12:27:04.534236,,,
30,528,sent,2026-05-26T12:29:06.366330,,,
30,529,sent,2026-05-26T12:31:08.622763,,,
31,526,sent,2026-05-28T12:41:23.044302,,,
31,527,sent,2026-05-28T12:43:26.354835,,,
31,528,skipped,,,,
31,529,sent,2026-05-28T12:46:35.379478,,,
32,530,sent,2026-05-28T12:46:35.379478,,,
32,531,sent,2026-05-28T12:48:40.981913,,,
32,532,sent,2026-05-28T12:50:44.688879,,,
32,533,sent,2026-05-28T12:52:49.709570,,,
32,534,sent,2026-05-28T12:54:54.420456,,,
32,535,failed,,,,
32,536,sent,2026-05-28T13:03:15.502978,,,
32,537,sent,2026-05-28T13:05:20.108252,,,
32,538,sent,2026-05-28T13:07:22.644859,,,
32,539,sent,2026-05-28T13:09:26.092730,,,
32,540,sent,2026-05-28T13:11:28.898903,,,
32,541,sent,2026-05-28T13:13:32.465131,,,
32,542,sent,2026-05-28T13:15:36.774604,,,
32,543,sent,2026-05-28T13:17:40.619083,,,
32,544,sent,2026-05-28T13:19:43.381672,,,
32,545,sent,2026-05-28T13:21:46.459919,,,
32,546,sent,2026-05-28T13:23:49.510338,,,
32,547,sent,2026-05-28T13:25:52.073836,,,
32,548,sent,2026-05-28T13:27:54.834149,,,
32,549,sent,2026-05-28T13:29:57.919350,,,
32,550,sent,2026-05-28T13:32:01.442581,,,
32,551,sent,2026-05-28T13:34:04.802187,,,
32,552,sent,2026-05-28T13:36:10.864652,,,
32,553,sent,2026-05-28T13:38:13.196376,,,
32,554,sent,2026-05-28T13:41:12.903531,,,
32,555,sent,2026-05-28T13:43:14.769116,,,
32,556,sent,2026-05-28T13:45:17.192582,,,
32,557,sent,2026-05-28T13:47:19.792543,,,
32,558,sent,2026-05-28T13:49:22.298464,,,
32,559,sent,2026-05-28T13:51:25.036208,,,
32,560,sent,2026-05-28T13:53:26.959102,,,
32,561,sent,2026-05-28T13:55:29.704353,,,
32,562,sent,2026-05-28T13:57:32.188243,,,
32,563,sent,2026-05-28T13:59:34.873004,,,
32,564,sent,2026-05-28T14:01:38.255082,,,
32,565,sent,2026-05-28T14:03:40.734626,,,
32,566,sent,2026-05-28T14:05:48.078192,,,
32,567,sent,2026-05-28T14:07:50.740804,,,
32,568,sent,2026-05-28T14:09:53.614142,,,
32,569,sent,2026-05-28T14:11:56.221837,,,
32,570,sent,2026-05-28T14:13:58.640343,,,
32,571,sent,2026-05-28T14:16:01.020844,,,
32,572,sent,2026-05-28T14:18:03.557949,,,
32,573,sent,2026-05-28T14:20:05.344727,,,
32,574,sent,2026-05-28T14:22:08.049125,,,
32,575,sent,2026-05-28T14:24:10.330749,,,
32,576,sent,2026-05-28T14:26:12.932627,,,
32,577,sent,2026-05-28T14:28:15.225504,,,
32,578,sent,2026-05-28T14:30:17.574389,,,
32,579,sent,2026-05-28T14:32:20.654696,,,
32,580,sent,2026-05-28T14:34:22.544159,,,
32,581,sent,2026-05-28T14:36:24.686011,,,
32,582,sent,2026-05-28T14:38:26.541008,,,
32,583,sent,2026-05-28T14:41:21.669844,,,
32,584,sent,2026-05-28T14:43:23.061797,,,
32,585,sent,2026-05-28T14:45:25.149819,,,
32,586,sent,2026-05-28T14:47:27.318150,,,
32,587,sent,2026-05-28T14:49:29.445556,,,
32,588,sent,2026-05-28T14:51:31.627638,,,
32,589,sent,2026-05-28T14:53:33.760851,,,
32,590,sent,2026-05-28T14:55:36.142928,,,
32,591,sent,2026-05-28T14:57:38.101521,,,
32,592,sent,2026-05-28T14:59:40.044439,,,
32,593,sent,2026-05-28T15:01:41.942281,,,
32,594,sent,2026-05-28T15:03:43.976994,,,
32,595,sent,2026-05-28T15:05:46.379110,,,
32,596,sent,2026-05-28T15:07:48.781864,,,
32,597,sent,2026-05-28T15:09:51.057364,,,
32,598,sent,2026-05-28T15:11:52.876029,,,
32,599,sent,2026-05-28T15:13:54.966654,,,
32,600,sent,2026-05-28T15:15:57.233775,,,
32,601,sent,2026-05-28T15:17:59.331555,,,
32,602,sent,2026-05-28T15:20:01.343515,,,
32,603,sent,2026-05-28T15:22:03.428170,,,
32,604,sent,2026-05-28T15:24:04.930152,,,
32,605,sent,2026-05-28T15:26:08.102509,,,
32,606,sent,2026-05-28T15:28:10.081819,,,
32,607,sent,2026-05-28T15:30:12.511765,,,
32,608,sent,2026-05-28T15:32:14.701339,,,
32,28,sent,2026-05-28T12:42:25.695964,,,
32,610,sent,2026-05-28T15:34:16.183961,,,
32,611,sent,2026-05-28T15:36:19.861588,,,
32,612,sent,2026-05-28T15:38:22.474298,,,
32,613,sent,2026-05-28T15:40:24.564493,,,
32,614,sent,2026-05-28T15:42:46.425680,,,
32,615,sent,2026-05-28T15:44:48.465948,,,
32,616,sent,2026-05-28T15:46:50.366164,,,
32,617,sent,2026-05-28T15:48:52.661177,,,
32,618,sent,2026-05-28T15:50:54.818801,,,
32,619,sent,2026-05-28T15:52:56.578093,,,
32,620,sent,2026-05-28T15:54:58.797940,,,
32,621,sent,2026-05-28T15:57:01.522637,,,
32,622,sent,2026-05-28T15:59:03.574778,,,
32,623,sent,2026-05-28T16:01:05.740620,,,
32,624,sent,2026-05-28T16:03:07.805255,,,
32,625,sent,2026-05-28T16:05:09.643431,,,
32,626,sent,2026-05-28T16:07:11.078886,,,
32,627,sent,2026-05-28T16:09:12.802166,,,
32,628,sent,2026-05-28T16:11:14.187499,,,
32,629,sent,2026-05-28T16:13:16.216263,,,
